,Mkt-RF,SMB,HML,RMW,CMA,RF
201001,-3.36,0.34,0.43,-1.27,0.46,0
201002,3.4,1.51,3.23,-0.27,1.43,0
201003,6.31,1.85,2.21,-0.65,1.69,0.01
201004,2,4.98,2.89,0.69,1.72,0.01
201005,-7.89,0.04,-2.44,1.3,-0.22,0.01
201006,-5.57,-2.47,-4.7,-0.16,-1.55,0.01
201007,6.93,0.14,-0.33,0.27,1.98,0.01
201008,-4.77,-3.13,-1.93,0.58,-1.61,0.01
201009,9.54,3.77,-3.18,-0.18,0.36,0.01
201010,3.88,0.86,-2.51,1.31,-0.33,0.01
201011,0.6,3.64,-0.92,0.38,1.63,0.01
201012,6.82,0.99,3.76,-3.52,3.21,0.01
201101,1.99,-2.38,0.75,-0.65,0.77,0.01
201102,3.49,1.65,1.27,-1.93,0.87,0.01
201103,0.46,2.63,-1.85,1.8,-0.05,0.01
201104,2.9,-0.5,-2.49,1.11,-0.86,0
201105,-1.27,-0.71,-2,1.91,-1.5,0
201106,-1.75,0.13,-0.39,2.43,-1.51,0
201107,-2.35,-1.2,-0.9,2.68,-1.82,0
201108,-5.99,-3.2,-2.36,3.3,-0.38,0.01
201109,-7.59,-3.65,-1.72,2.04,0.26,0
201110,11.35,3.46,0.1,-2.16,-0.86,0
201111,-0.28,-0.27,-0.45,1.86,1.49,0
201112,0.74,-0.33,1.63,0.98,2.51,0
201201,5.05,2.05,-0.97,-2.01,-1.43,0
201202,4.42,-1.7,0.43,-0.48,-0.01,0
201203,3.11,-0.47,1.14,-0.54,0.74,0
201204,-0.85,-0.55,-0.78,1.3,0.65,0
201205,-6.19,-0.12,-1.06,2.08,2.32,0.01
201206,3.89,0.84,0.62,-1.09,0.46,0
201207,0.79,-2.8,-0.02,1.1,0.09,0
201208,2.55,0.45,1.3,-1.33,-0.86,0.01
201209,2.73,0.61,1.6,-1.49,1.54,0.01
201210,-1.76,-0.9,3.59,-1.34,2.51,0.01
201211,0.78,0.47,-0.84,0.6,0.84,0.01
201212,1.18,1.91,3.51,-1.85,0.88,0.01
201301,5.57,0.47,0.96,-1.93,1.42,0
201302,1.29,-0.25,0.11,-0.67,0.54,0
201303,4.03,0.86,-0.19,0.14,1.37,0
201304,1.55,-2.25,0.45,0.27,0.37,0
201305,2.8,2.09,2.63,-1.97,-0.91,0
201306,-1.2,1.56,0.03,-0.38,0.01,0
201307,5.65,1.8,0.57,-1.35,0.52,0
201308,-2.71,-0.06,-2.69,0.66,-2.16,0
201309,3.77,2.66,-1.22,-0.58,-1.4,0
201310,4.18,-1.51,1.25,2.78,0.92,0
201311,3.13,1.4,0.32,0.14,0.05,0
201312,2.81,-0.44,-0.02,-0.46,0.08,0
201401,-3.32,0.58,-2.07,-3.88,-1.43,0
201402,4.65,0.16,-0.31,-0.23,-0.47,0
201403,0.43,-1.13,4.93,2.13,1.98,0
201404,-0.19,-4.14,1.17,3.48,1.04,0
201405,2.06,-1.89,-0.13,0.05,-1.01,0
201406,2.61,3.1,-0.7,-1.89,-1.98,0
201407,-2.04,-4.29,0.03,0.88,0.51,0
201408,4.24,0.31,-0.45,-0.63,-0.69,0
201409,-1.97,-3.73,-1.34,1.31,-0.49,0
201410,2.52,3.72,-1.81,-0.55,-0.09,0
201411,2.55,-2.28,-3.09,1.5,0.26,0
201412,-0.06,2.86,2.27,-1.22,0.96,0
201501,-3.11,-0.91,-3.58,1.6,-1.66,0
201502,6.13,0.31,-1.86,-1.1,-1.79,0
201503,-1.12,3.07,-0.37,0.09,-0.51,0
201504,0.59,-3.06,1.82,0.02,-0.65,0
201505,1.36,0.82,-1.14,-1.78,-0.72,0
201506,-1.53,2.89,-0.79,0.45,-1.57,0
201507,1.54,-4.58,-4.13,0.31,-2.46,0
201508,-6.04,0.24,2.77,0.69,1.24,0
201509,-3.07,-2.8,0.56,1.8,-0.6,0
201510,7.75,-2.05,-0.46,0.86,0.55,0
201511,0.56,3.29,-0.42,-2.71,-1.03,0
201512,-2.17,-2.97,-2.61,0.45,0.03,0.01
201601,-5.77,-3.48,2.09,2.8,3.07,0.01
201602,-0.07,0.85,-0.57,3.28,1.99,0.02
201603,6.96,1.08,1.19,0.76,-0.04,0.02
201604,0.91,1.22,3.28,-2.92,1.86,0.01
201605,1.78,-0.62,-1.66,-1.07,-2.49,0.01
201606,-0.05,0.44,-1.48,1.39,1.91,0.02
201607,3.95,2.49,-1.27,1.25,-1.19,0.02
201608,0.49,1.7,3.13,-1.88,-0.34,0.02
201609,0.25,1.86,-1.23,-2.23,0.03,0.02
201610,-2.02,-4.04,4.12,0.96,0.28,0.02
201611,4.86,7.04,8.19,-0.21,3.69,0.01
201612,1.81,0.39,3.56,1.23,-0.22,0.03
201701,1.94,-1.43,-2.76,-0.5,-0.99,0.04
201702,3.57,-2.21,-1.68,0.45,-1.83,0.04
201703,0.17,0.74,-3.32,0.62,-0.94,0.03
201704,1.09,0.47,-2.1,1.91,-1.6,0.05
201705,1.06,-3.03,-3.78,0.95,-1.81,0.06
201706,0.78,2.57,1.48,-2.25,0.01,0.06
201707,1.87,-1.66,-0.24,-0.69,-0.11,0.07
201708,0.16,-1.83,-2.09,0.15,-2.37,0.09
201709,2.51,4.77,3.12,-1.46,1.67,0.09
201710,2.25,-1.93,0.21,0.92,-3.24,0.09
201711,3.12,-0.36,-0.08,3.19,-0.08,0.08
201712,1.06,-1.07,0.05,0.75,1.67,0.09
201801,5.57,-3.2,-1.33,-0.73,-1.01,0.12
201802,-3.65,0.31,-1.07,0.54,-2.39,0.11
201803,-2.35,3.58,-0.23,-0.45,0,0.11
201804,0.28,0.93,0.54,-2.43,1.27,0.14
201805,2.65,4.74,-3.18,-2.05,-1.47,0.14
201806,0.48,0.81,-2.33,0.78,0.24,0.14
201807,3.19,-1.93,0.47,1.56,0.35,0.16
201808,3.44,0.63,-3.98,-0.3,-2.66,0.16
201809,0.06,-2.49,-1.69,0.64,1.3,0.15
201810,-7.68,-4.46,3.44,0.94,3.6,0.19
201811,1.69,-0.77,0.28,-0.56,0.36,0.18
201812,-9.57,-2.87,-1.85,-0.03,0.22,0.2
201901,8.4,3.02,-0.46,-0.78,-1.51,0.21
201902,3.4,1.74,-2.67,0.12,-1.6,0.18
201903,1.1,-3.5,-4.1,0.9,-0.96,0.19
201904,3.97,-1.17,2.14,1.62,-2.2,0.21
201905,-6.94,-1.58,-2.35,-0.47,1.76,0.21
201906,6.93,0.36,-0.72,0.91,-0.43,0.18
201907,1.19,-1.78,0.47,-0.07,0.37,0.19
201908,-2.58,-3.23,-4.77,0.55,-0.69,0.16
201909,1.43,0.27,6.74,1.84,3.36,0.18
201910,2.06,0.27,-1.92,0.44,-0.96,0.16
201911,3.87,0.45,-2,-1.6,-1.25,0.12
201912,2.77,0.97,1.77,0,1.23,0.14
202001,-0.11,-4.38,-6.23,-1.17,-2.32,0.13
202002,-8.13,0.04,-3.79,-1.47,-2.51,0.12
202003,-13.39,-8.3,-13.95,-1.52,1.26,0.13
202004,13.65,2.58,-1.26,2.71,-1.01,0
202005,5.58,1.97,-4.89,0.96,-3.25,0.01
202006,2.46,1.97,-2.17,0.09,0.53,0.01
202007,5.77,-3.2,-1.37,0.4,0.96,0.01
202008,7.63,-0.89,-2.96,4.26,-1.2,0.01
202009,-3.63,0.01,-2.68,-1.39,-1.89,0.01
202010,-2.1,4.64,4.22,-0.75,-0.76,0.01
202011,12.47,7.12,2.13,-2.2,1.37,0.01
202012,4.63,4.79,-1.5,-1.99,-0.11,0.01
202101,-0.03,6.92,2.97,-3.81,4.9,0.01
202102,2.78,4.53,7.17,0.31,-1.94,0
202103,3.08,-0.86,7.39,6.47,3.41,0
202104,4.93,-3.15,-0.95,2.49,-2.69,0
202105,0.29,1.23,7.09,2.53,3.01,0
202106,2.75,-0.34,-7.83,-2.18,-0.95,0
202107,1.27,-4.63,-1.78,5.5,-0.52,0
202108,2.91,-0.68,-0.15,-0.3,-1.79,0
202109,-4.37,1.13,5.09,-1.9,2.11,0
202110,6.65,-2.7,-0.49,1.69,-1.45,0
202111,-1.55,-1.77,-0.45,7.22,1.72,0
202112,3.1,-0.77,3.26,4.92,4.4,0.01
202201,-6.25,-4.04,12.75,0.87,7.74,0
202202,-2.29,2.94,3.08,-2.08,3.12,0
202203,3.05,-2.16,-1.8,-1.56,3.14,0.01
202204,-9.46,-0.41,6.17,3.63,5.89,0.01
202205,-0.34,-0.05,8.39,1.44,3.97,0.03
202206,-8.43,1.31,-5.98,1.86,-4.7,0.06
202207,9.57,1.86,-4.1,0.68,-6.92,0.08
202208,-3.77,1.49,0.3,-4.78,1.3,0.19
202209,-9.35,-0.97,0.06,-1.51,-0.84,0.19
202210,7.83,1.86,8.05,3.07,6.52,0.23
202211,4.6,-2.67,1.38,6.01,3.11,0.29
202212,-6.41,-0.16,1.32,0.09,4.19,0.33
202301,6.65,4.43,-4.08,-2.61,-4.52,0.35
